"order_date","STORE","order_count"
"1/10/2023","AP","1"
"1/10/2023","MY_LAZADA","33"
"1/10/2023","MY_Q10","2"
"1/10/2023","MY_SHOPEE","173"
"1/10/2023","SG_LAZADA","60"
"1/10/2023","SG_Q10","49"
"1/10/2023","SG_SHOPEE","125"
"2/10/2023","AP","1"
"2/10/2023","MY_LAZADA","45"
"2/10/2023","MY_Q10","9"
"2/10/2023","MY_SHOPEE","203"
"2/10/2023","SG_LAZADA","45"
"2/10/2023","SG_Q10","77"
"2/10/2023","SG_SHOPEE","89"
"3/10/2023","AP","3"
"3/10/2023","MY_LAZADA","37"
"3/10/2023","MY_Q10","3"
"3/10/2023","MY_SHOPEE","150"
"3/10/2023","SG_LAZADA","27"
"3/10/2023","SG_Q10","43"
"3/10/2023","SG_SHOPEE","51"
"4/10/2023","AP","2"
"4/10/2023","MY_LAZADA","32"
"4/10/2023","MY_Q10","11"
"4/10/2023","MY_SHOPEE","175"
"4/10/2023","SG_LAZADA","76"
"4/10/2023","SG_Q10","40"
"4/10/2023","SG_SHOPEE","71"
"5/10/2023","AP","1"
"5/10/2023","MY_LAZADA","69"
"5/10/2023","MY_Q10","6"
"5/10/2023","MY_SHOPEE","104"
"5/10/2023","SG_LAZADA","70"
"5/10/2023","SG_Q10","21"
"5/10/2023","SG_SHOPEE","69"
"6/10/2023","AP","2"
"6/10/2023","MY_LAZADA","49"
"6/10/2023","MY_Q10","2"
"6/10/2023","MY_SHOPEE","239"
"6/10/2023","SG_LAZADA","59"
"6/10/2023","SG_Q10","37"
"6/10/2023","SG_SHOPEE","63"
"7/10/2023","MY_LAZADA","44"
"7/10/2023","MY_Q10","5"
"7/10/2023","MY_SHOPEE","225"
"7/10/2023","SG_LAZADA","122"
"7/10/2023","SG_Q10","39"
"7/10/2023","SG_SHOPEE","417"
"8/10/2023","AP","2"
"8/10/2023","MY_LAZADA","83"
"8/10/2023","MY_Q10","3"
"8/10/2023","MY_SHOPEE","228"
"8/10/2023","SG_LAZADA","97"
