简体中文(源),参考语言(英文),资源编码
请输入目标位置的横坐标 X 值,Please enter the X-axis value of the target position,000142
请输入目标位置的纵坐标 Y 值,Please enter the Y-axis value of the target position,000143
POST,POST,000166
请输入程序的名称或路径（例如notepad，calc）,"Please enter the name or path of program (such as notepad, calc)",000192
输入要停止的进程名（Calc，notepad）,"Enter name of the process to be stopped (calc, notepad)",000198
图像文件 OCR,Image File OCR,000427
错误: {0},Error: {0},000556
发票图片 OCR,Invoice Picture OCR,000616
请输入窗口类名（此参数与窗口标题参数必须至少输入一个；可以通过 spy++ 工具来查看某窗口或者控件的类名）,Please enter a window class name (either this parameter or the window title parameter is required; you can view the class name of a window or control through the spy++ tool),000629
请输入2017年度国资委预算报表管理软件程序 ReportE.exe 路径,Please input the path of 2017 SASAC Budget Report Management Software ReportE.exe ,000638
请输入 Excel 预算表存储文件夹（每个预算表请存储成一个 Excel 文件，且按照预算报表名命名，比如“资产负债表.xlsx”）,"Please enter the Excel budget table storage folder (each budget report should be stored as an Excel file and named after the budget report name, such as ""Bal Sheet.xlsx"")",000639
此命令允许您在有 frame 或者 iframe 的情况下切换至首页,This command allows you to switch to the homepage when frame or iframe exists,000672
HTTP 方法,HTTP Method,000689
HTTP 头（请用回车符分隔每个 Header）,HTTP Headers (separated with carriage return),000690
请输入自然人税收管理系统扣缴客户端软件程序 EPEvenue_SH.exe 路径,"Enter the path of the ""Natural Person Tax Management System Deduction Client"" program EPEvenue_SH.exe",000702
请输入正确的日期格式，应该为 yyyy-MM-dd HH:mm:ss。,"Please enter the correct date format, which should be yyyy-MM-dd HH:mm:ss",000714
请输入原日期格式，比如 yyyy/M/d,"Please enter the original date format, such as yyyy/M/d",000745
请输入返回的日期格式，比如 yyyy-MM-dd,"Please enter the returned date format, such as yyyy-MM-dd",000746
通配符。比如 *.xls，置空表示所有文件,Wildcards. For example: *. xls. Blank indicates all files,000825
元素 ID,Element ID,000876
请输入命名空间，（每行一个命名空间，默认命名空间前缀固定为 default）,"Please enter name space (one name space per line, default name space prefix is fixed to default)",000884
通配符。比如 my*，置空表示所有文件,"Wildcards. For example, my*. Blank indicates all files",001015
跳过重复键值（false = 重复键值抛错）,Skip duplicate key (false =  error thrown due to duplicate key value),001022
SAP,SAP,001043
请输入服务器 IP 地址,Please enter the server IP address,001046
此命令允许您切换至上一级 frame 或者 iframe。,This command allows you to switch to the parent frame or iframe,001165
